Date,Open,High,Low ,Close,Volume
13-Feb-17,1034,1035,1022,1028.35,189181
10-Feb-17,1035,1035.9,1025.95,1030.3,136547
09-Feb-17,1026,1034.45,1026,1032.7,141795
08-Feb-17,1031.15,1038.45,1023,1025.65,192093
07-Feb-17,1040.3,1040.75,1027.6,1030.7,111221
06-Feb-17,1036.05,1043.9,1032.5,1040.1,501838
03-Feb-17,1044.75,1050.1,1031.05,1033.7,118332
02-Feb-17,1047.05,1050,1038.55,1044.75,812495
01-Feb-17,1045.2,1050.85,1034.7,1049.2,253689
31-Jan-17,1047,1053.9,1040.75,1043.4,163944
30-Jan-17,1025.15,1045.8,1024.9,1044.15,330309
27-Jan-17,1019.7,1028.95,1019,1025.15,279811
25-Jan-17,1035,1035,1016.1,1016.7,587082
24-Jan-17,1020,1030,1018.6,1027.55,115731
23-Jan-17,1024,1031,1014.05,1015.95,198546
20-Jan-17,1033,1037.7,1024.4,1025.7,579325
19-Jan-17,1033.35,1044.65,1031,1033.75,237906
18-Jan-17,1043,1048.15,1029,1032.45,330933
17-Jan-17,1068.2,1074.7,1038,1041.3,705492
16-Jan-17,1091.4,1093.85,1074,1077,131122
13-Jan-17,1085.7,1096.6,1085.2,1090.15,178450
12-Jan-17,1088.45,1090,1079.15,1083.15,120619
11-Jan-17,1094.35,1095,1082,1084.1,88630
10-Jan-17,1079,1092,1078.25,1087.1,206226
09-Jan-17,1079,1085.7,1071.1,1077.1,236337
06-Jan-17,1075.3,1085,1072.55,1072.7,436493
05-Jan-17,1073,1079.5,1069,1077.4,159733
04-Jan-17,1092.15,1092.45,1065.35,1068.95,142748
03-Jan-17,1084.15,1097,1081.25,1090.65,199293
02-Jan-17,1081.35,1089.45,1073.15,1083.1,182947
30-Dec-16,1066.8,1084.7,1064,1080.1,653398
29-Dec-16,1051.65,1068.6,1049.5,1064.95,98962
28-Dec-16,1068,1069.9,1048.4,1052.2,546777
27-Dec-16,1047.1,1066.7,1047.1,1064.4,560443
26-Dec-16,1055.6,1066,1045,1047.1,369114
23-Dec-16,1050.6,1068.45,1050.6,1058.15,304475
22-Dec-16,1059.9,1061.55,1050.35,1053.95,622987
21-Dec-16,1059,1066.35,1056.5,1061.45,273117
20-Dec-16,1057.3,1062,1054,1059.1,779055
19-Dec-16,1058,1065.8,1055,1062.15,726659
16-Dec-16,1050,1062,1050,1057.55,297923
15-Dec-16,1056.75,1066.8,1051,1054.2,202780
14-Dec-16,1039.5,1064.4,1039.4,1060,519532
13-Dec-16,1032,1042,1028.5,1039.9,97743
12-Dec-16,1026.85,1040,1022.15,1028.1,110937
09-Dec-16,1020.5,1029.6,1020.3,1026.4,117758
08-Dec-16,1003.1,1021,1003.1,1019.55,123560
07-Dec-16,1007,1007,995.65,999.7,76196
06-Dec-16,995,1004.9,995,1003.35,101856
05-Dec-16,994,998.75,987.55,994.1,100455
02-Dec-16,995,1005.6,993.05,995.3,190233
01-Dec-16,996.15,1014.6,994.5,997.2,234382
30-Nov-16,997,997.6,988,992.75,267661
29-Nov-16,987.1,1002.7,987.1,995.85,289686
28-Nov-16,994.8,1000.05,984,986.45,91529
25-Nov-16,991,996,985,993.65,285338
24-Nov-16,1006.9,1006.9,986,990.65,212535
23-Nov-16,1005,1008.5,999.5,1007.25,125106
22-Nov-16,994.25,1007.5,994.05,1001.1,133026
21-Nov-16,988,993.7,983.5,990.9,362810
18-Nov-16,983.15,992.15,982.9,987.5,288856
17-Nov-16,987,998,975.85,981.3,418920
16-Nov-16,989.3,996.7,982,985.85,346508
15-Nov-16,1001.8,1001.8,980.55,987.6,566144
11-Nov-16,1000,1017.3,995.35,1001.4,240131
10-Nov-16,1016.55,1028.4,1008.25,1010,157104
09-Nov-16,940,1008.9,932,1005.55,432284
08-Nov-16,1003.55,1009,998.35,1002.85,154570
07-Nov-16,1011.35,1016.5,999.5,1001.95,164685
04-Nov-16,1021.3,1027.15,1000.55,1005.8,218484
03-Nov-16,1024.05,1034.5,1022.1,1025.45,134126
02-Nov-16,1042,1042.05,1021.1,1024.05,167266
01-Nov-16,1051,1055,1047.75,1048.3,114140
30-Oct-16,1057,1065,1047.85,1051.2,46545
28-Oct-16,1050,1056,1043.95,1053.5,145866
27-Oct-16,1053,1054,1043.2,1048.5,128047
26-Oct-16,1058,1059.2,1052,1054.15,114052
25-Oct-16,1063.2,1065.4,1054.5,1059.9,185050
24-Oct-16,1068,1074,1060.5,1063.55,142852
21-Oct-16,1099,1099,1059,1064.4,700819
20-Oct-16,1091.95,1097.8,1085.1,1088.5,201875
19-Oct-16,1083.15,1094.5,1081.4,1086.9,458730
18-Oct-16,1064,1082,1062.8,1079.3,189876
17-Oct-16,1079,1080.65,1058,1060.15,222193
14-Oct-16,1060.5,1081.95,1058,1078.2,285604
13-Oct-16,1093.7,1093.7,1052.05,1057.7,580933
